OBJECTID,ZIPCODE,MAIL_CITY,SHAPE_LENG,SHAPE
1,20812,GLEN ECHO,14504.506512800000564,"(38.97167372900003, -77.14303858399995)"
2,20816,BETHESDA,58716.124844899997697,"(38.968821939000065, -77.13906853799995)"
3,20818,CABIN JOHN,31103.235156399998232,"(38.98485098500004, -77.15860800399997)"
4,20894,BETHESDA,1298.40152164999995,"(38.99378758800003, -77.09628464599996)"
5,20892,BETHESDA,140.742935679999988,"(38.995341232000044, -77.09646380299995)"
6,20892,BETHESDA,1169.217672980000089,"(38.993607250000025, -77.09623528899994)"
7,20814,BETHESDA,502.857722060000015,"(38.99534132700006, -77.09646374599998)"
8,20894,BETHESDA,337.702224600000022,"(38.99551739100008, -77.09644294099996)"
9,20814,BETHESDA,7.16274364,"(38.99691113200004, -77.09661975999995)"
10,20814,BETHESDA,46411.687688300000445,"(38.98092806500006, -77.09512100199998)"
11,20912,TAKOMA PARK,51232.065341699999408,"(38.99913015200008, -76.99610038899993)"
12,20814,BETHESDA,950.506703499999958,"(38.99819219600005, -77.10927059099998)"
13,20814,BETHESDA,94.393758250000005,"(38.999527503000024, -77.09675525999995)"
14,20814,BETHESDA,590.37059198999998,"(38.99959780300003, -77.10947639399996)"
15,20814,BETHESDA,1593.782786600000009,"(39.00012748000006, -77.10955329999996)"
16,20814,BETHESDA,1892.058524419999912,"(39.00170655800008, -77.10978357199997)"
17,20814,BETHESDA,1066.939241479999964,"(39.003612313000076, -77.11025892399994)"
18,20814,BETHESDA,1585.120583399999987,"(39.00418313600005, -77.10487406599998)"
19,20814,BETHESDA,874.003934340000001,"(39.00530993900003, -77.10259437099995)"
20,20892,BETHESDA,18629.830248199999915,"(38.99691101800005, -77.09661985099996)"
21,20889,BETHESDA,13519.881059200000891,"(39.00580807800003, -77.08468266999995)"
22,20815,CHEVY CHASE,78258.270285100006731,"(39.01179484600004, -77.06283040899996)"
23,20895,KENSINGTON,1766.180485009999984,"(39.01380988600005, -77.05489138199994)"
24,20910,SILVER SPRING,82846.15688890000456,"(39.01413694900003, -77.05794465999998)"
25,20814,BETHESDA,58373.863053799999761,"(39.032560156000045, -77.09605896399995)"
26,20895,KENSINGTON,536.200243829999977,"(39.03275841900006, -77.08787059899998)"
27,20903,SILVER SPRING,50204.71924510000099,"(39.03606432300006, -76.98883462799995)"
28,20817,BETHESDA,143234.92007900000317,"(39.03820300800004, -77.14592658899994)"
29,20993,SILVER SPRING,29796.941771300000255,"(39.04004946100008, -76.95569924999995)"
30,20895,KENSINGTON,70838.149276500000269,"(39.04338110100008, -77.07598493499995)"
31,20896,GARRETT PARK,18896.062914199999796,"(39.03337408900006, -77.08477564099996)"
32,20901,SILVER SPRING,65628.321074099992984,"(39.04433897300004, -76.99333853499996)"
